Gene stable ID,Gene name,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSBTAG00000019029,DPH5,diphthamide biosynthesis 5 [Source:VGNC Symbol_Acc:VGNC:28180],3,42259115,42299418,1
ENSBTAG00000049568,,sperm-associated antigen 11 [Source:NCBI gene (formerly Entrezgene)_Acc:101905775],27,6045536,6050924,-1
ENSBTAG00000000827,TAOK1,TAO kinase 1 [Source:VGNC Symbol_Acc:VGNC:35595],19,20700379,20801731,1
ENSBTAG00000043125,,,22,7316631,7316760,-1
ENSBTAG00000000828,CAPN6,calpain 6 [Source:VGNC Symbol_Acc:VGNC:26749],X,59413796,59439573,-1
ENSBTAG00000039893,OR9I1,olfactory receptor family 9 subfamily I member 1 [Source:HGNC Symbol_Acc:HGNC:14718],15,81258851,81280080,-1
ENSBTAG00000036102,,,7,68625875,68685772,-1
ENSBTAG00000007942,TENT4B,terminal nucleotidyltransferase 4B [Source:VGNC Symbol_Acc:VGNC:54565],18,18573010,18645765,1
ENSBTAG00000052798,,"keratin, type II cuticular Hb1-like [Source:NCBI gene (formerly Entrezgene)_Acc:112446672]",5,27628332,27633606,-1
ENSBTAG00000037768,MMP3,matrix metallopeptidase 3 [Source:NCBI gene (formerly Entrezgene)_Acc:281309],15,5779177,5785763,1
ENSBTAG00000021375,,,15,81279136,81398068,-1
ENSBTAG00000017574,LMNA,lamin A/C [Source:VGNC Symbol_Acc:VGNC:30929],3,14642915,14670926,-1
ENSBTAG00000020477,AHSA1,activator of HSP90 ATPase activity 1 [Source:VGNC Symbol_Acc:VGNC:25755],10,88648515,88656337,1
ENSBTAG00000000315,ECD,ecdysoneless cell cycle regulator [Source:VGNC Symbol_Acc:VGNC:28301],28,29208194,29236888,-1
ENSBTAG00000038267,,olfactory receptor 9I1 [Source:NCBI gene (formerly Entrezgene)_Acc:615808],15,81304118,81305101,1
ENSBTAG00000008348,NOL4L,nucleolar protein 4 like [Source:NCBI gene (formerly Entrezgene)_Acc:785034],13,61874277,61955381,-1
ENSBTAG00000054470,,,29,39134489,39134770,1
ENSBTAG00000018232,STOML3,stomatin like 3 [Source:VGNC Symbol_Acc:VGNC:35412],12,23258105,23284263,1
ENSBTAG00000003838,,,14,9720375,9721103,1
ENSBTAG00000000495,HAVCR2,hepatitis A virus cellular receptor 2 [Source:NCBI gene (formerly Entrezgene)_Acc:768047],7,68784734,68800460,-1
ENSBTAG00000034952,SPAG11B,sperm associated antigen 11B [Source:NCBI gene (formerly Entrezgene)_Acc:783025],27,6063471,6068440,-1
ENSBTAG00000004869,CXADR,CXADR Ig-like cell adhesion molecule [Source:VGNC Symbol_Acc:VGNC:53521],1,19437777,19502580,-1
ENSBTAG00000042433,,,18,18623511,18623592,1
ENSBTAG00000039302,ANGPTL6,angiopoietin like 6 [Source:VGNC Symbol_Acc:VGNC:25894],7,14654639,14661566,-1
ENSBTAG00000048029,MMP1,matrix metallopeptidase 1 (interstitial collagenase) [Source:NCBI gene (formerly Entrezgene)_Acc:281308],15,5811583,5820952,1
ENSBTAG00000047088,,,4,99091792,99135175,-1
ENSBTAG00000030908,OR9Q2,"olfactory receptor, family 9, subfamily Q, member 2 [Source:NCBI gene (formerly Entrezgene)_Acc:510573]",15,81371590,81372534,1
ENSBTAG00000054816,,"keratin, type II cuticular Hb1-like [Source:NCBI gene (formerly Entrezgene)_Acc:112446673]",5,27639400,27644675,-1
ENSBTAG00000038506,,pregnancy-associated glycoprotein 1-like [Source:NCBI gene (formerly Entrezgene)_Acc:520130],29,39176960,39184179,-1
ENSBTAG00000042439,,,18,18623733,18623802,1
ENSBTAG00000008783,HTR7,5-hydroxytryptamine receptor 7 [Source:VGNC Symbol_Acc:VGNC:30003],26,12388407,12476123,-1
ENSBTAG00000044651,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],9,60893409,60893499,-1
ENSBTAG00000040197,,olfactory receptor 10W1 [Source:NCBI gene (formerly Entrezgene)_Acc:531571],15,81444654,81445598,-1
ENSBTAG00000011667,PM20D2,peptidase M20 domain containing 2 [Source:VGNC Symbol_Acc:VGNC:33067],9,60958094,60971066,-1
ENSBTAG00000051640,,,19,20812327,20819141,1
ENSBTAG00000002973,RPP30,ribonuclease P/MRP subunit p30 [Source:VGNC Symbol_Acc:VGNC:34123],26,12493145,12521099,1
ENSBTAG00000010349,IL1A,interleukin 1 alpha [Source:VGNC Symbol_Acc:VGNC:30130],11,46482543,46493673,-1
ENSBTAG00000050159,,,10,32040688,32041701,-1
ENSBTAG00000019027,SLC30A7,solute carrier family 30 member 7 [Source:VGNC Symbol_Acc:VGNC:34811],3,42316067,42410097,-1
ENSBTAG00000054360,,olfactory receptor 5 [Source:NCBI gene (formerly Entrezgene)_Acc:520180],18,63960651,63964139,1
ENSBTAG00000049391,,olfactory receptor 5B12-like [Source:NCBI gene (formerly Entrezgene)_Acc:518442],15,81469310,81470296,-1
ENSBTAG00000042615,SNORA74,Small nucleolar RNA SNORA74 [Source:RFAM_Acc:RF00090],10,32145001,32145204,-1
ENSBTAG00000001250,TFAP2A,transcription factor AP-2 alpha [Source:VGNC Symbol_Acc:VGNC:35776],23,45614708,45637787,1
ENSBTAG00000049716,,,15,81484407,81485645,-1
ENSBTAG00000052747,,,13,62073115,62076834,1
ENSBTAG00000025167,ABHD15,abhydrolase domain containing 15 [Source:VGNC Symbol_Acc:VGNC:25494],19,20816663,20821639,-1
ENSBTAG00000049831,,,9,60965053,60966420,1
ENSBTAG00000052154,,,15,81494147,81495093,-1
ENSBTAG00000033679,HLCS,holocarboxylase synthetase [Source:VGNC Symbol_Acc:VGNC:50274],1,149031196,149199816,-1
ENSBTAG00000048847,,,27,6069928,6074858,-1
ENSBTAG00000051081,,olfactory receptor 5 [Source:NCBI gene (formerly Entrezgene)_Acc:520181],18,63969022,63969960,-1
ENSBTAG00000046235,SRSF12,serine and arginine rich splicing factor 12 [Source:VGNC Symbol_Acc:VGNC:35300],9,60999045,61016030,1
ENSBTAG00000015230,PLA2G12A,phospholipase A2 group XIIA [Source:VGNC Symbol_Acc:VGNC:32954],6,15675549,15690031,1
ENSBTAG00000015569,ENKUR,"enkurin, TRPC channel interacting protein [Source:VGNC Symbol_Acc:VGNC:28496]",13,25808009,25844085,-1
ENSBTAG00000054136,,"keratin, type II cuticular Hb1 [Source:NCBI gene (formerly Entrezgene)_Acc:787600]",5,27650469,27655743,-1
ENSBTAG00000015818,,interstitial collagenase-like [Source:NCBI gene (formerly Entrezgene)_Acc:112441463],15,5868388,5877633,-1
ENSBTAG00000050263,MED7,mediator complex subunit 7 [Source:NCBI gene (formerly Entrezgene)_Acc:509729],7,68818971,68831544,-1
ENSBTAG00000012745,PPAN,peter pan homolog (Drosophila) [Source:NCBI gene (formerly Entrezgene)_Acc:522370],7,14663969,14667985,1
ENSBTAG00000014687,TP53I13,tumor protein p53 inducible protein 13 [Source:VGNC Symbol_Acc:VGNC:36234],19,20823068,20828587,1
ENSBTAG00000020480,SPTLC2,serine palmitoyltransferase long chain base subunit 2 [Source:VGNC Symbol_Acc:VGNC:35257],10,88689279,88784551,-1
ENSBTAG00000049070,,,27,6076779,6079838,-1
ENSBTAG00000051543,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],13,25816735,25816841,1
ENSBTAG00000019110,PNRC1,proline rich nuclear receptor coactivator 1 [Source:VGNC Symbol_Acc:VGNC:33098],9,61031143,61035355,-1
ENSBTAG00000026102,PAG9,pregnancy-associated glycoprotein 9 [Source:NCBI gene (formerly Entrezgene)_Acc:337903],29,39237419,39246444,-1
ENSBTAG00000012537,CASP6,caspase 6 [Source:VGNC Symbol_Acc:VGNC:26782],6,15694143,15715905,1
ENSBTAG00000019130,FAM149B1,family with sequence similarity 149 member B1 [Source:VGNC Symbol_Acc:VGNC:28733],28,29237038,29287046,1
ENSBTAG00000011664,ZIM2,zinc finger imprinted 2 [Source:VGNC Symbol_Acc:VGNC:52291],18,64011118,64019858,-1
ENSBTAG00000051916,RIPPLY3,ripply transcriptional repressor 3 [Source:VGNC Symbol_Acc:VGNC:33986],1,149259149,149269725,1
ENSBTAG00000055170,,"olfactory receptor, family 5, subfamily B, member 2 [Source:NCBI gene (formerly Entrezgene)_Acc:505481]",15,81514122,81515066,-1
ENSBTAG00000052613,,,13,25844124,25851568,1
ENSBTAG00000013450,FAM71B,family with sequence similarity 71 member B [Source:VGNC Symbol_Acc:VGNC:55223],7,68850413,68853077,-1
ENSBTAG00000015254,GLB1,galactosidase beta 1 [Source:VGNC Symbol_Acc:VGNC:29391],22,7340652,7444669,-1
ENSBTAG00000009117,THNSL1,threonine synthase like 1 [Source:VGNC Symbol_Acc:VGNC:35838],13,25851589,25853835,1
ENSBTAG00000006208,ADCY7,adenylate cyclase 7 [Source:VGNC Symbol_Acc:VGNC:25648],18,18655907,18720625,1
ENSBTAG00000052911,,,27,6081510,6084079,1
ENSBTAG00000042411,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],3,42327050,42327155,1
ENSBTAG00000043726,7SK,7SK RNA [Source:RFAM_Acc:RF00100],1,19472026,19472312,1
ENSBTAG00000017919,CNOT4,CCR4-NOT transcription complex subunit 4 [Source:VGNC Symbol_Acc:VGNC:27519],4,99183547,99335717,-1
ENSBTAG00000016166,,"keratin, type II microfibrillar, component 7C-like [Source:NCBI gene (formerly Entrezgene)_Acc:507184]",5,27660828,27673135,1
ENSBTAG00000029827,bta-mir-125b-2,bta-mir-125b-2 [Source:miRBase_Acc:MI0005457],1,20385501,20385585,-1
ENSBTAG00000029912,MIRLET7C,microRNA let-7c [Source:HGNC Symbol_Acc:HGNC:31480],1,20434603,20434710,-1
ENSBTAG00000005213,ZWILCH,zwilch kinetochore protein [Source:VGNC Symbol_Acc:VGNC:37391],10,13362441,13404844,1
ENSBTAG00000054607,,beta-defensin 107A [Source:NCBI gene (formerly Entrezgene)_Acc:100296670],27,6091050,6094942,1
ENSBTAG00000038326,,uncharacterized LOC508098 [Source:NCBI gene (formerly Entrezgene)_Acc:508098],18,64034413,64043302,-1
ENSBTAG00000029768,bta-mir-99a,bta-mir-99a [Source:miRBase_Acc:MI0004751],1,20435338,20435427,-1
ENSBTAG00000019026,EXTL2,exostosin like glycosyltransferase 2 [Source:VGNC Symbol_Acc:VGNC:28668],3,42410254,42428917,1
ENSBTAG00000045839,,,6,101408371,101408646,-1
ENSBTAG00000011734,ANKRD1,ankyrin repeat domain 1 [Source:VGNC Symbol_Acc:VGNC:25908],26,12533095,12542796,-1
ENSBTAG00000011883,ARL1,ADP ribosylation factor like GTPase 1 [Source:VGNC Symbol_Acc:VGNC:26135],5,65275298,65284728,-1
ENSBTAG00000051520,,,15,5909414,5916178,1
ENSBTAG00000054337,,,1,20436469,20583230,-1
ENSBTAG00000043298,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],1,149273725,149273831,-1
ENSBTAG00000004991,ELP1,elongator complex protein 1 [Source:VGNC Symbol_Acc:VGNC:28454],8,98474958,98536474,-1
ENSBTAG00000012040,GIT1,GIT ArfGAP 1 [Source:VGNC Symbol_Acc:VGNC:29368],19,20829405,20843830,-1
ENSBTAG00000017233,,,19,52337266,52363244,-1
ENSBTAG00000053883,,,1,20603901,20824149,-1
ENSBTAG00000044129,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:VGNC Symbol_Acc:VGNC:35342]",11,98555376,98568425,-1
ENSBTAG00000000306,ITK,IL2 inducible T cell kinase [Source:VGNC Symbol_Acc:VGNC:30338],7,68871861,68934053,1
ENSBTAG00000055107,PIGP,phosphatidylinositol glycan anchor biosynthesis class P [Source:NCBI gene (formerly Entrezgene)_Acc:767951],1,149301433,149317939,-1
ENSBTAG00000044220,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],1,21012981,21013086,1
ENSBTAG00000050276,,,6,101448339,101448875,1
ENSBTAG00000054084,,,27,6107796,6117598,1
ENSBTAG00000015887,FOXJ3,forkhead box J3 [Source:VGNC Symbol_Acc:VGNC:29091],3,103880098,104004083,1
ENSBTAG00000047637,,,11,46537344,46538090,-1
ENSBTAG00000042143,SNORD105,"small nucleolar RNA, C/D box 105 [Source:HGNC Symbol_Acc:HGNC:32769]",7,14664956,14665042,1
ENSBTAG00000000949,DNAJC9,DnaJ heat shock protein family (Hsp40) member C9 [Source:VGNC Symbol_Acc:VGNC:55985],28,29287220,29293350,-1
ENSBTAG00000046204,ZNF705A,zinc finger protein 705A [Source:NCBI gene (formerly Entrezgene)_Acc:100125413],27,6119983,6125684,1
ENSBTAG00000049115,,,10,88714810,88715345,1
ENSBTAG00000001321,IL1B,interleukin 1 beta [Source:VGNC Symbol_Acc:VGNC:52787],11,46543394,46552101,-1
ENSBTAG00000008020,,,5,65308669,65308998,1
ENSBTAG00000044924,SNORD105B,"small nucleolar RNA, C/D box 105B [Source:HGNC Symbol_Acc:HGNC:33572]",7,14666379,14666453,1
ENSBTAG00000053110,,,27,6183690,6188322,1
ENSBTAG00000046732,MMP8,matrix metallopeptidase 8 [Source:VGNC Symbol_Acc:VGNC:31530],15,5933094,5944195,1
ENSBTAG00000008133,ALKBH1,"alkB homolog 1, histone H2A dioxygenase [Source:VGNC Symbol_Acc:VGNC:55101]",10,88823935,88846698,-1
ENSBTAG00000048005,MGC157368,uncharacterized LOC789809 [Source:NCBI gene (formerly Entrezgene)_Acc:789809],18,64048790,64061205,-1
ENSBTAG00000013536,P2RY11,purinergic receptor P2Y11 [Source:NCBI gene (formerly Entrezgene)_Acc:100533481],7,14668284,14670849,1
ENSBTAG00000009904,SPIC,Spi-C transcription factor [Source:VGNC Symbol_Acc:VGNC:35214],5,65323700,65337081,1
ENSBTAG00000014600,ADCY8,adenylate cyclase 8 [Source:VGNC Symbol_Acc:VGNC:25649],14,9754216,9979380,1
ENSBTAG00000022348,PAG3,pregnancy-associated glycoprotein 3 [Source:NCBI gene (formerly Entrezgene)_Acc:337896],29,39307574,39316598,-1
ENSBTAG00000046548,ST6GALNAC4,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 [Source:VGNC Symbol_Acc:VGNC:58614]",11,98573717,98582947,-1
ENSBTAG00000016427,COMMD7,COMM domain containing 7 [Source:VGNC Symbol_Acc:VGNC:27587],13,62102412,62131186,-1
ENSBTAG00000000950,MRPS16,mitochondrial ribosomal protein S16 [Source:VGNC Symbol_Acc:VGNC:31657],28,29296801,29298632,-1
ENSBTAG00000048500,,,8,41841015,41860060,1
ENSBTAG00000016494,RELT,RELT TNF receptor [Source:VGNC Symbol_Acc:VGNC:33862],15,52862870,52879965,1
ENSBTAG00000002734,EIF3G,eukaryotic translation initiation factor 3 subunit G [Source:VGNC Symbol_Acc:VGNC:28397],7,14670931,14675554,-1
ENSBTAG00000051223,,beta-defensin 130-like [Source:NCBI gene (formerly Entrezgene)_Acc:112444619],27,6192951,6196588,1
ENSBTAG00000016165,KRT7,keratin 7 [Source:VGNC Symbol_Acc:VGNC:30734],5,27674854,27689030,-1
ENSBTAG00000017032,FREM2,FRAS1 related extracellular matrix 2 [Source:VGNC Symbol_Acc:VGNC:29111],12,23297835,23449177,-1
ENSBTAG00000017184,ZBTB33,zinc finger and BTB domain containing 33 [Source:VGNC Symbol_Acc:VGNC:37073],X,4819983,4827596,1
ENSBTAG00000001119,ANKRD13B,ankyrin repeat domain 13B [Source:VGNC Symbol_Acc:VGNC:25913],19,20847902,20864213,1
ENSBTAG00000011392,MYBPC1,myosin binding protein C1 [Source:VGNC Symbol_Acc:VGNC:31780],5,65398362,65500279,1
ENSBTAG00000019591,DCX,doublecortin [Source:VGNC Symbol_Acc:VGNC:56525],X,59472982,59589950,-1
ENSBTAG00000051321,,,8,41917823,41953082,1
ENSBTAG00000054257,bta-mir-2887-2,bta-mir-2887-1 [Source:miRBase_Acc:MI0013060],27,6217555,6217609,-1
ENSBTAG00000013675,IL37,interleukin 37 [Source:VGNC Symbol_Acc:VGNC:30160],11,46612787,46619812,1
ENSBTAG00000008135,SLIRP,SRA stem-loop interacting RNA binding protein [Source:VGNC Symbol_Acc:VGNC:55144],10,88846597,88853571,1
ENSBTAG00000048608,5_8S_rRNA,5.8S ribosomal RNA [Source:RFAM_Acc:RF00002],27,6222648,6222800,-1
ENSBTAG00000054128,,,5,101922337,101923994,-1
ENSBTAG00000039476,,,11,46637927,46648729,-1
ENSBTAG00000053889,LAP,lingual antimicrobial peptide [Source:NCBI gene (formerly Entrezgene)_Acc:403090],27,6233756,6235885,1
ENSBTAG00000017187,TMEM255A,transmembrane protein 255A [Source:VGNC Symbol_Acc:VGNC:36064],X,4830043,4875887,-1
ENSBTAG00000055163,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],12,23523037,23523143,1
ENSBTAG00000054518,,translation initiation factor IF-2-like [Source:NCBI gene (formerly Entrezgene)_Acc:104974975],18,64066454,64076678,-1
ENSBTAG00000003387,PIP5KL1,phosphatidylinositol-4-phosphate 5-kinase like 1 [Source:VGNC Symbol_Acc:VGNC:32913],11,98588918,98598087,-1
ENSBTAG00000007195,GUCA2A,guanylate cyclase activator 2A [Source:VGNC Symbol_Acc:VGNC:29716],3,104015403,104017508,1
ENSBTAG00000046937,,beta-defensin-like [Source:NCBI gene (formerly Entrezgene)_Acc:783012],27,6238997,6242940,1
ENSBTAG00000007194,GUCA2B,guanylate cyclase activator 2B [Source:VGNC Symbol_Acc:VGNC:29717],3,104021061,104024316,-1
ENSBTAG00000003202,OPRD1,opioid receptor delta 1 [Source:VGNC Symbol_Acc:VGNC:50539],2,124630567,124671398,-1
ENSBTAG00000055216,,,18,64085063,64092010,-1
ENSBTAG00000052826,,,27,6270076,6272159,1
ENSBTAG00000045811,U2,U2 spliceosomal RNA [Source:RFAM_Acc:RF00004],X,59534614,59534804,-1
ENSBTAG00000049296,,,3,104109103,104325767,1
ENSBTAG00000053979,,,3,104475204,104501637,1
ENSBTAG00000015771,YTHDF2,YTH N6-methyladenosine RNA binding protein 2 [Source:VGNC Symbol_Acc:VGNC:37042],2,124710421,124740398,-1
ENSBTAG00000053463,SERTM2,serine rich and transmembrane domain containing 2 [Source:NCBI gene (formerly Entrezgene)_Acc:104970532],X,59711204,59722155,1
ENSBTAG00000019158,MEX3A,mex-3 RNA binding family member A [Source:VGNC Symbol_Acc:VGNC:31419],3,14690553,14695864,1
ENSBTAG00000049719,,olfactory receptor 5B12 [Source:NCBI gene (formerly Entrezgene)_Acc:104968576],15,81534633,81535577,1
ENSBTAG00000040150,,olfactory receptor 1S1 [Source:NCBI gene (formerly Entrezgene)_Acc:615941],15,81560595,81561581,1
ENSBTAG00000049247,OR5B17,olfactory receptor 5B3 [Source:NCBI gene (formerly Entrezgene)_Acc:509369],15,81568688,81569632,-1
ENSBTAG00000050814,CFAP70,cilia and flagella associated protein 70 [Source:NCBI gene (formerly Entrezgene)_Acc:529891],28,29299964,29381034,-1
ENSBTAG00000054572,PEG3,paternally expressed 3 [Source:NCBI gene (formerly Entrezgene)_Acc:444864],18,64099930,64118980,-1
ENSBTAG00000002179,CDIN1,CDAN1 interacting nuclease 1 [Source:VGNC Symbol_Acc:VGNC:52611],10,32243797,32473979,1
ENSBTAG00000001120,CORO6,coronin 6 [Source:VGNC Symbol_Acc:VGNC:27625],19,20865348,20873587,-1
ENSBTAG00000053501,OR5B2,olfactory receptor 5B2-like [Source:NCBI gene (formerly Entrezgene)_Acc:104968563],15,81580817,81593351,-1
ENSBTAG00000018914,RAB25,"RAB25, member RAS oncogene family [Source:VGNC Symbol_Acc:VGNC:33632]",3,14700973,14708274,-1
ENSBTAG00000003901,DNMT3B,DNA methyltransferase 3 beta [Source:VGNC Symbol_Acc:VGNC:28147],13,62142537,62176363,1
ENSBTAG00000008920,ATP1B4,ATPase Na+/K+ transporting family member beta 4 [Source:VGNC Symbol_Acc:VGNC:26288],X,4930434,4951512,1
ENSBTAG00000002725,RNGTT,RNA guanylyltransferase and 5'-phosphatase [Source:VGNC Symbol_Acc:VGNC:34076],9,61102065,61335342,1
ENSBTAG00000006304,PAG6,pregnancy-associated glycoprotein 6 [Source:NCBI gene (formerly Entrezgene)_Acc:337900],29,39377380,39386740,-1
ENSBTAG00000007204,KRT80,keratin 80 [Source:VGNC Symbol_Acc:VGNC:30742],5,27732717,27757234,1
ENSBTAG00000043380,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],2,124749845,124749951,1
ENSBTAG00000003388,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:VGNC Symbol_Acc:VGNC:28184]",11,98600692,98603745,-1
ENSBTAG00000053887,,,15,81600692,81601585,-1
ENSBTAG00000011754,LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:VGNC Symbol_Acc:VGNC:30780]",3,14709191,14713057,-1
ENSBTAG00000005214,LCTL,lactase like [Source:VGNC Symbol_Acc:VGNC:30820],10,13404231,13420411,-1
ENSBTAG00000039592,,"olfactory receptor, family 5, subfamily B, member 3 [Source:NCBI gene (formerly Entrezgene)_Acc:526857]",15,81614719,81615672,-1
ENSBTAG00000023851,FAM102A,family with sequence similarity 102 member A [Source:VGNC Symbol_Acc:VGNC:28711],11,98609978,98643839,-1
ENSBTAG00000004607,GSG1L,GSG1 like [Source:VGNC Symbol_Acc:VGNC:29677],25,25339151,25591807,-1
ENSBTAG00000051853,,olfactory receptor 5B2 [Source:NCBI gene (formerly Entrezgene)_Acc:513948],15,81629911,81630849,-1
ENSBTAG00000048937,,,27,6298490,6299732,1
ENSBTAG00000007773,VCAM1,vascular cell adhesion molecule 1 [Source:NCBI gene (formerly Entrezgene)_Acc:282118],3,42553488,42576599,-1
ENSBTAG00000050945,,,15,81649519,81650462,1
ENSBTAG00000005248,,,23,45996663,46011021,1
ENSBTAG00000023920,GPR158,G protein-coupled receptor 158 [Source:VGNC Symbol_Acc:VGNC:29564],13,25958776,26260117,1
ENSBTAG00000050630,DEFB13,Beta-defensin 13 [Source:NCBI gene (formerly Entrezgene)_Acc:404107],27,6326521,6328629,1
ENSBTAG00000001548,UBQLN4,ubiquilin 4 [Source:VGNC Symbol_Acc:VGNC:55694],3,14713270,14728924,1
ENSBTAG00000012995,MCUB,mitochondrial calcium uniporter dominant negative subunit beta [Source:VGNC Symbol_Acc:VGNC:31326],6,15717981,15813728,-1
ENSBTAG00000051379,,olfactory receptor 5B12 [Source:NCBI gene (formerly Entrezgene)_Acc:506652],15,81671092,81672036,-1
ENSBTAG00000020218,ANXA7,annexin A7 [Source:VGNC Symbol_Acc:VGNC:25969],28,29386959,29409020,-1
ENSBTAG00000054561,,,27,6369593,6378474,1
ENSBTAG00000053045,,,12,23675610,23676617,-1
ENSBTAG00000047251,bta-mir-2900,bta-mir-2900 [Source:miRBase_Acc:MI0013075],18,64108770,64108823,-1
ENSBTAG00000050356,,,10,13405660,13406287,1
ENSBTAG00000036042,,olfactory receptor 5B12 [Source:NCBI gene (formerly Entrezgene)_Acc:784897],15,81680823,81681758,-1
ENSBTAG00000051796,,,27,6402839,6407152,-1
ENSBTAG00000052163,,,11,98652567,98654462,1
ENSBTAG00000050637,,,18,64122952,64123028,1
ENSBTAG00000051486,UFM1,ubiquitin fold modifier 1 [Source:NCBI gene (formerly Entrezgene)_Acc:530547],12,23680676,23695013,-1
ENSBTAG00000051041,,,8,42250643,42257275,1
ENSBTAG00000050072,,,11,98685584,98686780,-1
ENSBTAG00000051123,,,18,64129995,64130114,1
ENSBTAG00000022759,PAG11,pregnancy-associated glycoprotein 11 [Source:NCBI gene (formerly Entrezgene)_Acc:337907],29,39438824,39456485,-1
ENSBTAG00000034871,,,22,7450851,7453049,1
ENSBTAG00000054501,,olfactory receptor 5B12-like [Source:NCBI gene (formerly Entrezgene)_Acc:782698],15,81697476,81698501,-1
ENSBTAG00000044351,,,10,13411651,13411782,-1
ENSBTAG00000044457,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],18,64313137,64313234,-1
ENSBTAG00000048643,,,5,65481772,65483013,-1
ENSBTAG00000053250,,olfactory receptor 5B12 [Source:NCBI gene (formerly Entrezgene)_Acc:784623],15,81717220,81718230,-1
ENSBTAG00000012156,NAIF1,nuclear apoptosis inducing factor 1 [Source:VGNC Symbol_Acc:VGNC:31872],11,98706627,98711496,-1
ENSBTAG00000008136,SNW1,SNW domain containing 1 [Source:VGNC Symbol_Acc:VGNC:35089],10,88853700,88888853,-1
ENSBTAG00000052422,,beta-defensin 103A-like [Source:NCBI gene (formerly Entrezgene)_Acc:107131528],27,6432007,6503305,1
ENSBTAG00000008167,TTC3,tetratricopeptide repeat domain 3 [Source:VGNC Symbol_Acc:VGNC:36469],1,149318018,149436586,1
ENSBTAG00000021442,CRTAP,cartilage associated protein [Source:VGNC Symbol_Acc:VGNC:27727],22,7458981,7492376,1
ENSBTAG00000051815,,olfactory receptor 5B12 [Source:NCBI gene (formerly Entrezgene)_Acc:515862],15,81744562,81745506,-1
ENSBTAG00000044956,bta-mir-2334,bta-mir-2334 [Source:miRBase_Acc:MI0011360],19,20871847,20871918,-1
ENSBTAG00000037539,,vascular cell adhesion molecule 1-like [Source:NCBI gene (formerly Entrezgene)_Acc:534578],3,42593885,42616930,-1
ENSBTAG00000046380,,uncharacterized LOC509710 [Source:NCBI gene (formerly Entrezgene)_Acc:509710],15,81766255,81767687,-1
ENSBTAG00000050419,,,27,6432444,6433381,1
ENSBTAG00000000625,SMAD6,SMAD family member 6 [Source:VGNC Symbol_Acc:VGNC:34979],10,13478777,13621037,1
ENSBTAG00000004964,PCGF5,polycomb group ring finger 5 [Source:VGNC Symbol_Acc:VGNC:32628],26,12777507,12896019,1
ENSBTAG00000002085,IL36G,interleukin 36 gamma [Source:VGNC Symbol_Acc:VGNC:30158],11,46674697,46682184,1
ENSBTAG00000016497,FAM168A,family with sequence similarity 168 member A [Source:VGNC Symbol_Acc:VGNC:28752],15,52890052,53086176,-1
ENSBTAG00000023157,,putative protein FAM90A12P [Source:NCBI gene (formerly Entrezgene)_Acc:101907227],27,6475376,6477354,1
ENSBTAG00000001212,SSR2,signal sequence receptor subunit 2 [Source:VGNC Symbol_Acc:VGNC:35320],3,14754110,14760797,1
ENSBTAG00000005327,SUSD5,sushi domain containing 5 [Source:VGNC Symbol_Acc:VGNC:58418],22,7499864,7541920,-1
ENSBTAG00000049025,,,27,6511471,6511939,1
ENSBTAG00000011912,SLC25A25,solute carrier family 25 member 25 [Source:VGNC Symbol_Acc:VGNC:34751],11,98712579,98748930,1
ENSBTAG00000002087,IL36A,interleukin 36 alpha [Source:VGNC Symbol_Acc:VGNC:59221],11,46700982,46704288,1
ENSBTAG00000031483,,,29,39522467,39522916,-1
ENSBTAG00000049288,,,10,13717398,13756914,1
ENSBTAG00000044540,U2,U2 spliceosomal RNA [Source:RFAM_Acc:RF00004],3,42636536,42636742,1
ENSBTAG00000043716,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],10,88885131,88885213,-1
ENSBTAG00000010309,XPO6,exportin 6 [Source:VGNC Symbol_Acc:VGNC:37000],25,25620580,25727702,-1
ENSBTAG00000010945,SEC24B,"SEC24 homolog B, COPII coat complex component [Source:VGNC Symbol_Acc:VGNC:34414]",6,15825962,15906195,-1
ENSBTAG00000013214,,pregnancy-associated glycoprotein 2 [Source:NCBI gene (formerly Entrezgene)_Acc:528815],29,39530075,39538876,-1
ENSBTAG00000051020,U6,U6 spliceosomal RNA [Source:RFAM_Acc:RF00026],15,52930312,52930415,-1
ENSBTAG00000002088,IL36B,interleukin 36 beta [Source:VGNC Symbol_Acc:VGNC:30157],11,46706527,46716318,1
ENSBTAG00000054858,,,23,47010587,47010727,-1
